"GitHub ID","Команда","Статус","Трек","SHA","Файлов в снимке","GitHub"
"1372003906","VT2k15","discovered","","","0","https://github.com/BAITC-Hacks/hack-9d786eb9-vt2k15"
"1375497089","Vtiposhniki","discovered","","","0","https://github.com/BAITC-Hacks/hack-81ca1a83-vtiposhniki"
"1372644280","VTK","discovered","","","0","https://github.com/BAITC-Hacks/hack-698575cf-vtk"
"1361347070","vv","ready","","5e64c51b5d0028f70764457e9d42cb55627f27d9","1","https://github.com/BAITC-Hacks/hack-2ed37f44-vv"
"1378271183","VVS","discovered","","","0","https://github.com/BAITC-Hacks/hack-a7bd558b-vvs"
"1379844698","Waheed's company","discovered","","","0","https://github.com/BAITC-Hacks/hack-ee3a1ecd-waheed-s-company"
"1369796383","Wai","ready","","481516f5afca8c00cc41c906fd69ea24156822c5","153","https://github.com/BAITC-Hacks/hack-1bf1c5f3-wai"
"1353739849","Wamigos","discovered","","","0","https://github.com/BAITC-Hacks/hack-40793dbe-wamigos"
"1374326039","Wamigos","discovered","","","0","https://github.com/BAITC-Hacks/hack-4ac40f9f-wamigos"
"1381689598","wamsulx","ready","","1cbe15fa42617ff71addbec1b67201e3605ed581","1","https://github.com/BAITC-Hacks/hack-272881e9-wamsulx"
"1372704336","Wandenreich","discovered","","","0","https://github.com/BAITC-Hacks/hack-8535a93d-wandenreich"
"1373987504","Warspaceman","discovered","","","0","https://github.com/BAITC-Hacks/hack-849af6d9-warspaceman"
"1374365577","Warspaceman","discovered","","","0","https://github.com/BAITC-Hacks/hack-84d3de81-warspaceman"
"1373187850","Waterlo-l3","ready","","8de815514c5b0c9a8134dd593107de510d32dc25","1","https://github.com/BAITC-Hacks/hack-0e53de1d-waterlo-l3"
"1379810449","wearelarping","ready","","88088a950dc10f6e179ca526cc2291097a602b42","1","https://github.com/BAITC-Hacks/hack-2368eac7-wearelarping"
"1377032264","WebSpace","discovered","","","0","https://github.com/BAITC-Hacks/hack-5263c4cc-webspace"
"1379776033","WebSpace","discovered","","","0","https://github.com/BAITC-Hacks/hack-e7e7d7a1-webspace"
"1377253651","Webster","discovered","","","0","https://github.com/BAITC-Hacks/hack-cc713f98-webster"
"1381684778","WeddingErasyl","ready","","797abf2f4c1a9ace89e182fd806bb498b00c7f14","1","https://github.com/BAITC-Hacks/hack-0d94488c-weddingerasyl"
"1378592976","wedontdo996","discovered","","","0","https://github.com/BAITC-Hacks/hack-403744fd-wedontdo996"
"1375870073","West side","discovered","","","0","https://github.com/BAITC-Hacks/hack-a4cdff0f-west-side"
"1379809230","west side","ready","","b9bc6736ff741984d99951ebcec2b4c9319b1d2a","1","https://github.com/BAITC-Hacks/hack-35267c85-west-side"
